Time-Bathhouse,Temp-Bathhouse,Time-New Tub,Temp-New Tub,Time-Hot Tub,Temp-Hot Tub,Time-Bathrooms,Temp-Bathrooms,Time-goodName,Temp-goodName,Time-The ROOM,Temp-The ROOM,Time-OUTHOUSE,Temp-OUTHOUSE,Time-Taco Stand,Temp-Taco Stand,Time-Actual,Temp-Actual,Time-newChannel,Temp-newChannel
2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2020-04-20T08:16:28,100,2022-04-08T16:51:25,19.0,2022-04-09T11:09:43,13.0
2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2020-04-20T08:16:45,100,2022-04-08T16:51:40,19.0,2022-04-09T11:09:59,13.0
2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2020-04-20T08:17:13,100,2022-04-08T16:51:56,19.0,2022-04-09T11:10:14,13.0
2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2020-04-20T08:17:30,100,2022-04-08T16:52:12,19.0,2022-04-09T11:10:30,13.0
2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2020-04-20T08:18:00,100,2022-04-08T16:52:27,19.0,2022-04-09T11:10:46,13.0
2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2020-04-20T08:18:16,100,2022-04-08T16:52:43,19.0,2022-04-09T11:11:01,13.0
2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2020-04-20T08:18:34,100,2022-04-08T16:52:59,19.0,2022-04-09T11:11:17,13.0
2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2020-04-20T08:18:49,100,2022-04-08T16:53:15,19.0,2022-04-09T11:11:32,13.0
2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2020-04-20T08:19:15,100,2022-04-08T16:53:31,19.0,2022-04-09T11:11:48,13.0
2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2020-04-20T08:19:49,100,2022-04-08T16:53:46,19.0,2022-04-09T11:12:04,13.0
